File: main
Type: cpu
Time: Feb 12, 2025 at 1:22pm (+08)
Duration: 60.05s, Total samples = 220ms ( 0.37%)
Showing nodes accounting for 220ms, 100% of 220ms total
      flat  flat%   sum%        cum   cum%
         0     0%   100%       60ms 27.27%  pdf-service-go/internal/pkg/circuitbreaker.(*CircuitBreaker).Execute
         0     0%   100%       30ms 13.64%  pdf-service-go/internal/pkg/docxgen.(*Generator).Generate
         0     0%   100%       20ms  9.09%  pdf-service-go/internal/pkg/docxgen.(*Generator).Generate.func1
         0     0%   100%       20ms  9.09%  pdf-service-go/internal/pkg/docxgen.(*Generator).Generate.func1.1
         0     0%   100%       10ms  4.55%  pdf-service-go/internal/pkg/docxgen.(*StorageManager).CreateTemp
         0     0%   100%       10ms  4.55%  pdf-service-go/internal/pkg/docxgen.(*TempManager).CreateTemp
         0     0%   100%       10ms  4.55%  pdf-service-go/internal/pkg/docxgen.(*memoryStorage).CreateTemp
         0     0%   100%       40ms 18.18%  pdf-service-go/internal/pkg/gotenberg.(*Client).ConvertDocxToPDF
         0     0%   100%       40ms 18.18%  pdf-service-go/internal/pkg/gotenberg.(*ClientWithCircuitBreaker).ConvertDocxToPDF
         0     0%   100%       40ms 18.18%  pdf-service-go/internal/pkg/gotenberg.(*ClientWithCircuitBreaker).ConvertDocxToPDF.func1
         0     0%   100%       20ms  9.09%  pdf-service-go/internal/pkg/retry.(*Retrier).Do
         0     0%   100%      120ms 54.55%  pdf-service-go/internal/pkg/tracing.TracingMiddleware.func1
         0     0%   100%       10ms  4.55%  runtime.(*mcache).prepareForSweep
         0     0%   100%       10ms  4.55%  runtime.(*mcache).releaseAll
         0     0%   100%       10ms  4.55%  runtime.(*mcentral).uncacheSpan
         0     0%   100%       10ms  4.55%  runtime.(*sweepLocked).sweep
         0     0%   100%       30ms 13.64%  runtime.(*unwinder).next
         0     0%   100%       20ms  9.09%  runtime.callers
         0     0%   100%       20ms  9.09%  runtime.callers.func1
         0     0%   100%       20ms  9.09%  runtime.deductAssistCredit
         0     0%   100%       10ms  4.55%  runtime.funcspdelta (inline)
         0     0%   100%       20ms  9.09%  runtime.gcAssistAlloc
         0     0%   100%       20ms  9.09%  runtime.gcAssistAlloc.func1
         0     0%   100%       20ms  9.09%  runtime.gcAssistAlloc1
         0     0%   100%       60ms 27.27%  runtime.gcBgMarkWorker
         0     0%   100%       50ms 22.73%  runtime.gcBgMarkWorker.func2
         0     0%   100%       50ms 22.73%  runtime.gcDrain
         0     0%   100%       20ms  9.09%  runtime.gcDrainN
         0     0%   100%       10ms  4.55%  runtime.gcMarkDone
         0     0%   100%       10ms  4.55%  runtime.gcMarkTermination
         0     0%   100%       10ms  4.55%  runtime.gcMarkTermination.func3
         0     0%   100%       20ms  9.09%  runtime.growslice
         0     0%   100%       10ms  4.55%  runtime.heapBits.next
         0     0%   100%       10ms  4.55%  runtime.mProf_Malloc
         0     0%   100%       30ms 13.64%  runtime.makeslice
         0     0%   100%       10ms  4.55%  runtime.mapaccess2_faststr
         0     0%   100%       20ms  9.09%  runtime.markroot
         0     0%   100%       20ms  9.09%  runtime.markroot.func1
         0     0%   100%       10ms  4.55%  runtime.memclrNoHeapPointersChunked
         0     0%   100%       10ms  4.55%  runtime.procresize
         0     0%   100%       10ms  4.55%  runtime.profilealloc
         0     0%   100%       10ms  4.55%  runtime.saveblockevent
         0     0%   100%       10ms  4.55%  runtime.scanframeworker
         0     0%   100%       20ms  9.09%  runtime.scanstack
         0     0%   100%       20ms  9.09%  runtime.selectgo
         0     0%   100%       10ms  4.55%  runtime.startTheWorldWithSema
         0     0%   100%      100ms 45.45%  runtime.systemstack
         0     0%   100%       20ms  9.09%  runtime.tracebackPCs
         0     0%   100%       20ms  9.09%  syscall.Open (inline)
         0     0%   100%       70ms 31.82%  syscall.RawSyscall6
         0     0%   100%       20ms  9.09%  syscall.Read (inline)
         0     0%   100%       40ms 18.18%  syscall.Syscall
         0     0%   100%       30ms 13.64%  syscall.Syscall6
         0     0%   100%       10ms  4.55%  syscall.Unlink (inline)
         0     0%   100%       10ms  4.55%  syscall.Write (inline)
         0     0%   100%       20ms  9.09%  syscall.openat
         0     0%   100%       20ms  9.09%  syscall.read
         0     0%   100%       10ms  4.55%  syscall.unlinkat
         0     0%   100%       10ms  4.55%  syscall.write
