File: main
Type: goroutine
Time: Feb 12, 2025 at 1:23pm (+08)
Showing nodes accounting for 44, 97.78% of 45 total
      flat  flat%   sum%        cum   cum%
         0     0% 97.78%          5 11.11%  pdf-service-go/internal/pkg/tracing.TracingMiddleware.func1
         0     0% 97.78%          2  4.44%  runtime.chanrecv
         0     0% 97.78%          2  4.44%  runtime.chanrecv2
         0     0% 97.78%          1  2.22%  runtime.main
         0     0% 97.78%         20 44.44%  runtime.netpollblock
         0     0% 97.78%         15 33.33%  runtime.selectgo
         0     0% 97.78%          1  2.22%  runtime/pprof.(*Profile).WriteTo
         0     0% 97.78%          1  2.22%  runtime/pprof.runtime_goroutineProfileWithLabels
         0     0% 97.78%          1  2.22%  runtime/pprof.writeGoroutine
         0     0% 97.78%          1  2.22%  runtime/pprof.writeRuntimeProfile
